id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	502795	308814	18743	3367	70705	20296	72756	967	7148	164352	192716
2	Autauga	Alabama	3841	2312	133	19	566	175	562	9	64	1237	1390
3	Baldwin	Alabama	17134	11828	716	90	1988	498	1827	26	165	6632	6245
4	Barbour	Alabama	2897	1730	85	20	383	114	511	7	46	897	1086
5	Bibb	Alabama	2137	1140	68	15	328	111	423	10	45	637	725
6	Blount	Alabama	5038	2955	222	19	769	173	813	14	73	1694	1794
7	Bullock	Alabama	1301	752	33	11	174	82	225	1	24	398	478
8	Butler	Alabama	2672	1641	77	19	357	127	401	6	44	826	1039
9	Calhoun	Alabama	14001	8536	484	65	1908	516	2262	28	203	4302	5445
10	Chambers	Alabama	5171	3631	89	20	478	166	709	8	70	1666	2200
11	Cherokee	Alabama	2945	1818	98	14	353	98	512	6	45	990	1002
12	Chilton	Alabama	4182	2376	169	26	665	177	689	12	66	1338	1491
13	Choctaw	Alabama	2030	1081	67	15	299	108	407	10	45	604	662
14	Clarke	Alabama	3449	1959	129	30	520	220	520	9	60	1096	1218
15	Clay	Alabama	1846	1166	59	6	206	59	314	3	31	596	710
16	Cleburne	Alabama	1618	949	47	10	181	66	335	5	26	490	546
17	Coffee	Alabama	4732	3079	198	32	627	168	570	7	51	1644	1824
18	Colbert	Alabama	8005	4734	397	46	1250	272	1182	21	102	2762	2937
19	Conecuh	Alabama	1868	1082	58	18	250	81	341	6	31	587	680
20	Coosa	Alabama	1587	935	47	9	193	66	306	2	28	518	537
21	Covington	Alabama	5431	3643	143	31	597	172	771	9	67	1758	2189
22	Crenshaw	Alabama	1735	1064	52	11	246	75	258	4	25	550	681
23	Cullman	Alabama	8926	5572	404	48	1292	303	1184	17	106	3112	3350
24	Dale	Alabama	4621	2825	183	27	600	194	707	11	73	1537	1633
25	Dallas	Alabama	5544	3276	152	45	765	298	893	12	107	1603	2169
26	De Kalb	Alabama	7569	4505	275	42	1067	299	1253	15	114	2427	2742
27	Elmore	Alabama	6135	3866	200	50	764	333	814	9	99	2012	2218
28	Escambia	Alabama	4652	2767	164	24	673	211	726	15	74	1455	1738
29	Etowah	Alabama	15167	8912	692	110	2489	509	2219	35	202	4991	6012
30	Fayette	Alabama	2634	1655	83	12	354	91	396	6	37	825	1075
31	Franklin	Alabama	4102	2383	181	17	608	123	722	11	57	1319	1477
32	Geneva	Alabama	3350	2152	106	21	445	103	479	5	40	1128	1301
33	Greene	Alabama	1088	602	31	16	166	66	182	1	26	333	373
34	Hale	Alabama	1641	944	45	15	245	82	273	3	33	498	603
35	Henry	Alabama	2056	1269	67	13	300	73	301	5	30	656	833
36	Houston	Alabama	9778	6305	327	56	1301	344	1309	14	121	3289	3817
37	Jackson	Alabama	6065	3616	224	31	853	234	1024	12	71	1988	2114
38	Jefferson	Alabama	87334	53596	3512	705	14007	3529	10693	122	1173	28762	36456
39	Lamar	Alabama	2151	1406	54	9	217	76	357	6	25	680	808
40	Lauderdale	Alabama	11828	7341	587	48	1772	366	1566	25	126	4133	4543
41	Lawrence	Alabama	3490	1958	152	20	509	148	643	8	51	1125	1185
42	Lee	Alabama	8243	5329	209	34	930	349	1255	13	127	2677	3067
43	Limestone	Alabama	5882	3517	246	32	854	235	909	11	80	1875	2106
44	Lowndes	Alabama	1216	630	40	12	164	96	237	4	31	334	396
45	Macon	Alabama	2181	1321	55	17	278	129	348	3	30	629	873
46	Madison	Alabama	22129	14586	892	113	2879	847	2567	25	219	7523	8602
47	Marengo	Alabama	2686	1633	90	22	359	112	414	5	51	872	995
48	Marion	Alabama	3822	2324	110	18	476	128	702	9	56	1196	1392
49	Marshall	Alabama	9160	5605	370	42	1322	297	1395	16	114	3031	3431
50	Mobile	Alabama	44134	26523	1788	420	6449	2095	6113	103	640	14477	16786
51	Monroe	Alabama	2811	1722	84	26	360	122	432	7	57	890	1052
52	Montgomery	Alabama	22554	14574	747	149	2958	981	2798	30	317	7144	9423
53	Morgan	Alabama	12277	7663	494	74	1761	506	1626	16	135	4106	4689
54	Perry	Alabama	1428	823	42	20	200	65	249	3	26	422	537
55	Pickens	Alabama	2628	1625	71	24	317	125	419	5	41	843	975
56	Pike	Alabama	3267	2040	92	19	427	140	498	8	46	1030	1282
57	Randolph	Alabama	2793	1874	54	14	261	104	447	5	33	880	1080
58	Russell	Alabama	5654	3477	147	33	759	269	883	10	78	1758	2107
59	St Clair	Alabama	6240	3624	259	41	909	255	1037	16	99	2040	2162
60	Shelby	Alabama	10891	6782	459	60	1473	481	1462	23	151	3768	3928
61	Sumter	Alabama	1510	866	49	12	246	67	236	3	31	453	591
62	Talladega	Alabama	10141	5775	287	62	1225	384	2176	19	213	2955	3541
63	Tallapoosa	Alabama	5649	3799	138	21	574	185	851	5	77	1824	2265
64	Tuscaloosa	Alabama	17234	10466	575	136	2248	733	2767	28	282	5491	6496
65	Walker	Alabama	9977	5335	394	73	1558	351	2025	40	200	3012	3443
66	Washington	Alabama	2048	1081	79	23	301	111	396	8	50	623	657
68	Wilcox	Alabama	1484	759	50	19	226	115	265	4	43	440	492
69	Winston	Alabama	2998	1693	110	15	425	107	584	11	53	948	1037
70	Unknown	Alabama	8	6	    	    	3	1	4	    	    	3	4
72	"Alaska, total"	Alaska	31058	19959	955	257	2963	2258	4194	44	429	11186	9685
73	Aleutian Islands	Alaska	129	82	4	3	17	13	9	    	1	56	33
74	Anchorage	Alaska	12391	7984	360	84	1119	804	1854	12	175	4243	4047
75	Angoon	Alaska	46	25	2	    	6	5	5	    	1	13	16
76	BarrowNorth Slope	Alaska	294	135	13	9	34	62	40	    	3	85	65
77	Bethel	Alaska	440	209	22	9	76	77	43	    	4	155	98
78	Bristol Bay Borough	Alaska	72	52	2	    	6	3	8	    	1	35	15
79	Bristol Bay	Alaska	240	140	9	4	28	33	22	1	4	95	60
80	CordovaMcCarthy	Alaska	141	99	9	1	13	5	16	    	1	59	48
81	Fairbanks North Star	Alaska	3793	2438	106	25	361	286	514	5	57	1406	1167
82	Haines	Alaska	228	161	10	2	24	8	23	1	2	101	74
83	Juneau	Alaska	1686	1150	36	13	156	129	180	1	22	587	631
84	KenaiCook Inlet	Alaska	2943	1924	108	19	266	173	402	6	41	1103	843
85	Ketchikan Gateway	Alaska	1129	806	39	6	107	44	115	1	11	460	402
86	Kobuk	Alaska	258	104	10	13	35	58	33	1	6	71	55
87	Kodiak Island	Alaska	543	382	14	4	46	41	49	    	5	225	166
88	Kuskokwim	Alaska	9	3	    	    	5	1	1	    	    	3	5
89	MatanuskaSusitna	Alaska	3066	1897	101	18	291	205	484	9	59	1094	841
90	Nome	Alaska	384	198	14	11	59	60	36	1	3	130	107
91	Outer Ketchikan	Alaska	100	69	2	    	9	6	10	    	1	38	37
92	Prince Of Wales	Alaska	150	92	8	1	9	9	27	1	2	68	30
93	Seward	Alaska	344	241	9	2	34	17	37	2	4	136	115
94	Sitka	Alaska	592	417	15	1	54	27	66	1	9	212	227
95	SkagwayYakutat	Alaska	165	118	2	3	10	9	19	1	2	65	48
96	Southeast Fairbanks	Alaska	347	216	10	6	36	20	52	1	4	133	94
97	Upper Yukon	Alaska	16	8	    	    	3	5	2	    	    	3	6
98	ValdezC hit inaW hitt ier	Alaska	405	268	14	4	33	25	57	1	5	162	110
99	Wade Hampton	Alaska	224	97	13	8	37	50	15	1	3	67	50
100	WrangellPetersburg	Alaska	581	433	16	4	45	37	43	1	2	243	211
101	YukonKoyukuk	Alaska	335	196	14	5	43	45	27	1	3	130	82
102	Unknown	Alaska	5	3	    	    	1	    	1	    	    	3	1
104	"Arizona, total"	Arizona	523873	372351	20404	2249	54647	14113	55013	566	4531	204497	201922
105	Apache	Arizona	3612	1870	174	46	538	369	543	10	64	1195	1018
106	Cochise	Arizona	12626	8507	576	80	1431	341	1533	29	129	5000	4399
107	Coconino	Arizona	7265	4636	302	42	787	451	940	11	98	2678	2349
108	Gila	Arizona	8835	6081	407	32	969	221	1024	18	83	3616	3040
109	Graham	Arizona	3267	2068	188	23	455	116	378	7	33	1254	1202
110	Greenlee	Arizona	956	596	70	8	137	39	92	4	7	401	315
111	La Paz	Arizona	2540	1859	80	8	219	54	293	6	19	1116	808
112	Maricopa	Arizona	292677	210698	10811	1060	30534	7672	29178	232	2491	112603	118093
113	Mohave	Arizona	25559	18858	763	85	2111	467	3071	33	170	10559	8681
114	Navajo	Arizona	7369	4536	325	61	792	454	1078	18	105	2714	2191
115	Pima	Arizona	96156	67447	4138	458	10616	2346	10206	112	833	37174	37879
116	Pinal	Arizona	18851	13051	765	107	1761	596	2357	26	188	7627	6188
117	Santa Cruz	Arizona	2946	1995	172	36	343	98	267	8	28	1211	1017
118	Yavapai	Arizona	28810	21372	1144	104	2682	494	2796	33	188	12158	10473
119	Yuma	Arizona	12397	8766	491	96	1272	401	1256	18	96	5195	4262
120	Unknown	Arizona	7	7	    	    	1	    	    	    	    	2	4
122	"Arkansas, total"	Arkansas	321161	202296	11408	1679	40962	11068	48349	603	4795	109169	120229
123	Arkansas	Arkansas	2982	1855	136	15	510	87	341	5	34	1045	1245
124	Ashley	Arkansas	3256	1870	137	20	511	134	523	9	51	1089	1183
125	Baxter	Arkansas	8796	6596	273	25	791	109	916	10	76	3557	3289
126	Benton	Arkansas	18322	13177	762	70	1745	416	1923	17	212	7420	6687
127	Boone	Arkansas	4777	2974	166	18	561	124	837	11	86	1606	1682
128	Bradley	Arkansas	1958	1153	78	12	337	72	276	5	26	660	761
129	Calhoun	Arkansas	763	438	21	6	113	30	141	2	12	250	265
130	Carroll	Arkansas	3161	2142	103	16	338	87	425	5	44	1149	1130
131	Chicot	Arkansas	1743	1016	52	17	267	81	280	4	30	552	648
132	Clark	Arkansas	2991	1911	118	15	429	96	377	6	38	1028	1190
133	Clay	Arkansas	2693	1657	109	11	420	70	388	6	32	897	1062
134	Cleburne	Arkansas	3823	2574	166	14	420	83	514	10	43	1464	1307
135	Cleveland	Arkansas	963	544	37	5	146	27	185	2	15	318	326
136	Columbia	Arkansas	3956	2377	162	26	622	142	558	6	65	1325	1515
137	Conway	Arkansas	2701	1688	89	17	291	72	496	5	42	889	996
138	Craighead	Arkansas	8107	5042	278	33	1114	285	1232	13	109	2607	3138
139	Crawford	Arkansas	5670	3201	188	26	665	221	1225	13	133	1764	1781
140	Crittenden	Arkansas	4501	2552	123	30	676	282	743	8	85	1401	1600
141	Cross	Arkansas	2255	1322	102	20	338	104	333	4	32	761	851
142	Dallas	Arkansas	1462	835	59	7	217	54	259	2	29	478	546
143	Desha	Arkansas	1657	957	64	14	272	88	234	5	25	528	662
144	Drew	Arkansas	1886	1135	52	13	286	88	278	3	31	593	724
145	Faulkner	Arkansas	7124	4585	232	41	791	289	1063	12	112	2403	2640
146	Franklin	Arkansas	2242	1284	73	7	283	74	473	6	44	727	754
147	Fulton	Arkansas	1652	983	69	10	204	48	304	5	29	561	539
148	Garland	Arkansas	16325	11755	634	56	1771	331	1652	19	106	6507	6331
149	Grant	Arkansas	1681	979	77	6	253	58	274	5	31	555	590
150	Greene	Arkansas	4627	2809	172	17	605	145	800	9	69	1490	1710
151	Hempstead	Arkansas	2701	1686	84	13	406	102	369	3	37	890	1092
152	Hot Spring	Arkansas	4053	2518	165	18	573	135	585	10	51	1440	1473
153	Howard	Arkansas	1847	1163	73	8	270	68	231	4	29	649	713
154	Independence	Arkansas	4324	2586	142	15	536	137	827	11	71	1382	1538
155	Izard	Arkansas	2405	1569	79	12	263	61	388	5	29	868	840
156	Jackson	Arkansas	2658	1613	90	11	382	82	436	7	36	895	1019
157	Jefferson	Arkansas	8790	5316	298	56	1200	396	1353	21	148	2755	3432
158	Johnson	Arkansas	2834	1680	95	17	369	83	533	8	49	957	990
159	Lafayette	Arkansas	922	520	30	8	152	29	165	3	15	281	362
160	Lawrence	Arkansas	2625	1536	99	12	389	70	463	8	46	865	966
161	Lee	Arkansas	1323	724	54	11	210	78	214	2	30	425	473
162	Lincoln	Arkansas	1259	713	52	7	191	53	220	3	21	401	451
163	Little River	Arkansas	1642	1001	61	9	240	55	246	7	24	545	613
164	Logan	Arkansas	3063	1737	118	17	404	98	610	13	64	978	1057
165	Lonoke	Arkansas	4223	2520	156	23	588	178	688	8	62	1362	1544
166	Madison	Arkansas	1655	952	66	9	198	61	333	2	33	546	532
167	Marion	Arkansas	2589	1683	76	12	232	62	470	8	43	942	796
168	Miller	Arkansas	4278	2643	135	22	653	163	587	8	67	1332	1755
169	Mississippi	Arkansas	5572	3224	180	41	800	285	937	11	94	1678	2108
170	Monroe	Arkansas	1389	827	56	7	237	56	184	3	18	460	554
171	Montgomery	Arkansas	1212	792	49	7	133	29	188	2	11	446	425
172	Nevada	Arkansas	1321	787	49	8	212	58	188	2	20	418	525
173	Newton	Arkansas	1073	547	41	9	128	42	264	3	36	325	294
174	Ouachita	Arkansas	4488	2714	155	27	667	158	683	9	72	1456	1740
175	Perry	Arkansas	1312	750	45	7	159	56	266	5	25	412	442
176	Phillips	Arkansas	3204	1815	97	34	497	201	484	11	65	974	1190
177	Pike	Arkansas	1511	945	66	6	233	42	195	4	19	548	563
178	Poinsett	Arkansas	3182	1795	122	13	486	127	586	6	48	1012	1176
179	Polk	Arkansas	2865	1858	122	17	352	81	386	12	37	1066	1027
180	Pope	Arkansas	6080	3629	202	23	702	210	1182	17	117	1961	2076
181	Prairie	Arkansas	1271	745	51	7	219	43	187	2	15	436	475
182	Pulaski	Arkansas	38316	24609	1145	286	4626	1699	5330	42	579	11971	15803
183	Randolph	Arkansas	2568	1559	92	9	352	69	444	5	38	866	930
184	"St, Francis"	Arkansas	3156	1852	95	30	462	141	515	6	58	996	1182
185	Saline	Arkansas	8827	5787	335	32	1016	294	1233	16	115	3248	3047
186	Scott	Arkansas	1600	908	60	6	213	40	333	7	34	513	536
187	Searcy	Arkansas	1234	689	44	7	159	34	271	4	25	402	389
189	Sebastian	Arkansas	13413	8418	485	55	1765	389	2072	16	213	4415	5336
190	Sevier	Arkansas	1702	1050	70	9	243	70	228	3	30	598	619
191	Sharp	Arkansas	3536	2443	125	19	355	75	471	9	39	1365	1240
192	Stone	Arkansas	1765	1052	64	8	201	51	357	6	27	619	537
193	Union	Arkansas	7016	4191	250	36	1092	294	1026	15	113	2301	2825
194	Van Buren	Arkansas	2989	2064	119	18	284	62	398	7	36	1179	1044
195	Washington	Arkansas	13746	8689	454	49	1586	444	2276	14	235	4573	5091
196	White	Arkansas	7667	4802	292	40	998	269	1136	19	111	2594	2846
197	Woodruff	Arkansas	1158	657	45	8	210	52	171	2	12	387	455
198	Yell	Arkansas	2714	1517	94	16	341	86	588	9	62	818	948
199	Unknown	Arkansas	10	6	1	    	1	1	2	    	2	3	3
201	"California, total"	California	2848383	1996258	117176	15861	322625	86397	284813	2752	22502	1091367	1154738
202	Alameda	California	116068	79446	4351	701	13112	3739	13545	82	1092	41722	48013
203	Alpine	California	88	63	3	1	7	2	10	    	1	40	29
204	Amador	California	5337	3895	241	19	575	108	463	5	30	2258	1997
205	Butte	California	27488	19186	1145	102	3189	614	2979	40	230	10670	11033
206	Calaveras	California	6455	4602	278	20	648	139	709	8	54	2654	2228
207	Colusa	California	1941	1304	104	8	264	52	187	5	21	806	750
208	Contra Costa	California	91227	63381	4082	398	10991	2511	8973	63	828	34815	37661
209	Del Norte	California	3229	2042	133	18	375	90	515	10	46	1204	1123
210	Eldorado	California	16909	12086	737	60	1594	461	1797	19	156	6826	6110
211	Fresno	California	63009	42271	2617	430	7766	2552	6713	74	587	23563	24963
212	Glenn	California	3014	2051	144	16	377	100	297	5	24	1202	1170
213	Humboldt	California	14858	9407	627	66	2003	452	2115	25	165	5436	5569
214	Imperial	California	11693	7423	576	138	1484	541	1379	33	120	4826	3665
215	Inyo	California	2880	2103	106	6	333	68	245	4	16	1154	1191
216	Kern	California	54898	34735	2101	303	6708	2213	7998	116	723	19719	19789
217	Kings	California	6955	4385	339	40	949	295	863	13	71	2550	2591
218	Lake	California	10196	7091	357	36	1014	231	1356	13	99	4003	3695
219	Lassen	California	2613	1677	97	11	304	86	400	5	32	971	914
220	Los Angeles	California	700051	498688	27625	4219	76621	21920	65672	619	4684	269644	289917
221	Madera	California	11431	7717	517	60	1266	380	1356	21	111	4558	4027
222	Marin	California	28450	21328	1327	140	3208	503	1826	7	112	11706	12451
223	Mariposa 	California	2625	1884	110	6	239	68	294	3	23	1112	867
224	Mendocino	California	10504	7041	427	62	1241	372	1245	12	102	3988	3968
225	Merced	California	15456	10130	674	102	1956	571	1819	26	175	5821	5690
226	Modoc	California	1404	952	54	5	172	37	172	2	11	562	503
227	Mono	California	684	505	26	4	55	18	67	1	7	318	191
228	Monterey	California	31763	22158	1506	188	3874	927	2829	33	245	12511	13065
229	Napa	California	14934	10706	604	114	1751	506	1145	12	95	5870	6349
230	Nevada	California	13003	9535	610	52	1291	252	1163	8	94	5425	4997
231	Orange	California	221654	161202	9425	1168	26211	5810	16414	137	1286	86950	94969
232	Placer	California	24249	17197	1034	106	2623	646	2393	24	228	9440	9494
233	Plumas	California	3165	2258	139	13	291	75	362	5	24	1342	1060
234	Riverside	California	154331	112119	5911	718	15856	4414	13946	171	1194	62160	61248
235	Sacramento	California	102238	67563	3984	556	12034	3492	13384	106	1118	35866	40756
236	San Benito	California	3455	2464	121	28	359	132	319	1	30	1366	1305
237	San Bernardino	California	123423	80752	4599	796	14533	5719	15412	204	1410	43862	46253
238	San Diego	California	246439	175310	11964	1377	28446	6524	21016	199	1604	98485	100180
239	San Francisco	California	75963	54533	2221	413	7611	1427	9399	32	325	27356	33296
240	San Joaquin	California	48599	31992	1861	305	5757	1914	6146	62	562	17816	18754
241	San Luis Obispo	California	29257	20965	1315	104	3219	595	2788	29	241	11673	11884
242	San Mateo	California	73390	54552	3000	325	7913	1577	5608	27	388	29259	31910
243	Santa Barbara	California	42085	30055	2067	256	4823	1022	3549	32	280	16832	17446
244	Santa Clara	California	124920	90100	5478	682	13422	3504	10835	69	829	49149	51169
245	Santa Cruz	California	21646	15099	931	100	2645	621	2072	17	161	8066	9278
246	Shasta	California	22677	14718	914	118	2710	687	3221	46	260	8325	8299
247	Sierra	California	484	346	22	    	53	11	47	    	5	215	167
248	Siskiyou	California	6947	4678	317	27	827	170	847	10	70	2743	2530
249	Solano	California	26969	17390	1090	164	3218	1109	3571	43	386	9258	10182
250	Sonoma	California	49367	34680	1978	321	5951	1422	4630	33	350	18447	21172
251	Stanislaus	California	39528	25790	1482	192	4784	1378	5370	60	472	14171	15051
252	Sutter	California	7750	5096	337	28	971	242	990	11	75	2873	2922
253	Tehama	California	7697	5149	309	30	872	212	1030	15	82	2940	2778
254	Trinity	California	2038	1292	77	7	223	46	357	8	27	764	661
255	Tulare	California	30231	19828	1224	260	3727	1285	3544	51	312	11098	11523
256	Tuolumne	California	8984	6484	376	30	873	197	935	15	75	3726	3249
257	Ventura	California	63259	44672	2678	318	7043	1770	6153	59	566	24299	25729
258	Yolo	California	12633	8509	576	63	1534	400	1428	13	109	4832	4969
259	Yuba	California	5802	3625	235	36	717	186	923	10	72	2126	1970
260	Unknown	California	42	34	2	    	3	3	3	    	1	16	8
262	"Colorado, total"	Colorado	345840	230245	15256	1373	41398	10902	42310	413	3944	128419	132380
263	Adams	Colorado	25901	16498	860	100	2809	980	4208	43	403	9061	8905
264	Alamosa	Colorado	1066	621	43	7	147	57	163	4	24	360	373
265	Arapahoe	Colorado	35451	24449	1566	141	4042	1188	3677	24	364	13463	13784
266	Archuleta	Colorado	924	647	54	4	71	22	113	1	12	395	270
267	Baca	Colorado	712	457	60	2	122	16	50	1	3	305	302
268	Bent	Colorado	566	336	24	4	75	18	101	1	7	211	193
269	Boulder	Colorado	19042	13008	892	82	2387	593	1904	8	169	7150	7667
270	Chaffee	Colorado	2139	1501	100	11	239	43	223	5	15	850	776
271	Cheyenne	Colorado	276	180	19	2	47	10	15	    	1	119	117
272	Clear Creek	Colorado	660	422	26	2	71	29	102	1	10	246	212
273	Conejos	Colorado	790	460	45	6	106	26	131	3	10	297	258
274	Costilla	Colorado	478	258	18	6	47	19	114	3	11	166	117
275	Crowley	Colorado	434	250	20	1	62	10	83	1	9	159	149
276	Custer	Colorado	416	278	25	2	26	11	62	2	7	167	112
277	Delta	Colorado	4120	2782	217	9	508	84	466	12	39	1688	1482
278	Denver	Colorado	54517	37049	1944	202	6269	1283	7263	42	466	19038	23420
279	Dolores	Colorado	271	158	19	1	34	9	45	1	2	106	86
280	Douglas	Colorado	5743	3966	290	29	561	280	544	4	71	2271	1947
281	Eagle	Colorado	1089	722	44	4	119	54	131	1	14	457	323
282	Elbert	Colorado	978	630	45	4	112	41	126	1	19	393	290
283	El Paso	Colorado	36991	23876	1814	156	4389	1300	4903	54	501	13258	13592
284	Fremont	Colorado	5214	3391	239	24	654	140	694	10	60	1950	1939
285	Garfield	Colorado	3312	2233	129	8	375	108	402	5	52	1270	1180
286	Gilpin	Colorado	265	178	6	    	24	9	43	1	2	103	75
287	Grand	Colorado	796	600	36	3	62	14	75	1	6	357	240
288	Gunnison	Colorado	701	485	33	4	69	31	71	1	7	275	242
289	Hinsdale	Colorado	73	58	4	    	4	8	2	    	    	34	20
290	Huerfano	Colorado	1008	635	42	5	139	31	141	3	11	390	360
291	Jackson	Colorado	184	116	7	1	31	5	26	    	1	79	59
292	Jefferson	Colorado	43006	30061	1812	152	4927	1375	4228	27	425	16391	16921
293	Kiowa	Colorado	232	143	14	2	38	11	23	    	1	86	97
294	Kit Carson	Colorado	989	630	69	5	181	25	76	1	4	426	402
295	Lake	Colorado	525	313	25	3	74	26	74	2	6	189	168
296	La Plata	Colorado	3240	2204	145	11	390	132	321	5	31	1268	1189
297	Larimer	Colorado	19173	13100	912	52	2270	556	2061	17	205	7272	7505
298	Las Animas	Colorado	1988	1165	101	11	308	51	318	5	31	700	750
299	Lincoln	Colorado	616	402	36	    	111	12	51	1	5	251	262
300	Logan	Colorado	2553	1640	153	11	401	80	242	2	25	1016	1001
301	Mesa	Colorado	14051	9487	629	66	1641	436	1618	18	156	5427	5310
302	Mineral	Colorado	93	65	2	2	13	2	8	    	    	39	36
303	Moffat	Colorado	1115	680	47	5	136	30	191	3	19	402	370
304	Montezuma	Colorado	2643	1690	131	10	338	87	344	4	37	1012	930
305	Montrose	Colorado	3924	2641	195	13	514	118	404	6	34	1553	1509
306	Morgan	Colorado	2741	1764	153	8	429	69	280	3	33	1069	1103
307	Otero	Colorado	2458	1495	104	12	342	89	380	5	32	841	943
308	Ouray	Colorado	347	253	21	2	28	9	33	    	2	158	113
309	Park	Colorado	887	561	33	2	52	36	185	1	16	320	209
