id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	752836	406293	54640	10282	115733	42095	83652	7420	32721	195026	309476
2	Autauga	Alabama	5435	2910	370	60	845	345	575	65	265	1410	2090
3	Baldwin	Alabama	21530	13275	1805	250	2700	895	1730	190	685	6645	8840
4	Barbour	Alabama	5035	2700	305	65	805	280	605	55	220	1280	2090
5	Bibb	Alabama	3400	1525	235	55	615	235	480	55	200	800	1255
6	Blount	Alabama	6640	3460	640	60	1100	295	795	65	225	1825	2705
7	Bullock	Alabama	2420	1200	150	45	380	205	280	20	140	610	940
8	Butler	Alabama	4770	2580	295	75	720	330	490	45	235	1215	1980
9	Calhoun	Alabama	21510	11765	1485	215	3235	1025	2610	225	950	5325	9015
10	Chambers	Alabama	8170	5295	300	60	925	375	835	65	315	2230	3615
11	Cherokee	Alabama	5105	2740	375	55	795	265	625	55	195	1405	1975
12	Chilton	Alabama	6170	3085	530	75	1045	370	725	80	260	1620	2390
13	Choctaw	Alabama	3315	1580	255	55	590	215	390	50	180	875	1250
14	Clarke	Alabama	5310	2585	375	125	905	465	525	65	265	1315	2040
15	Clay	Alabama	2955	1625	175	30	405	150	385	40	145	765	1185
16	Cleburne	Alabama	2620	1370	180	25	360	140	380	35	130	660	1005
17	Coffee	Alabama	7190	4235	595	85	1020	335	675	50	195	1975	3095
18	Colbert	Alabama	11280	5750	1060	120	1845	495	1415	125	470	2980	4580
19	Conecuh	Alabama	3393	1740	230	55	525	200	390	60	195	850	1360
20	Coosa	Alabama	2255	1145	125	25	315	130	360	30	125	570	775
21	Covington	Alabama	8965	5405	465	120	1170	385	1015	90	315	2395	3835
22	Crenshaw	Alabama	3030	1685	205	35	495	150	310	35	115	825	1320
23	Cullman	Alabama	14075	7675	1305	160	2195	650	1430	150	510	3900	5900
24	Dale	Alabama	7160	3870	535	95	1055	410	765	85	345	1890	2745
25	Dallas	Alabama	9920	5120	540	165	1485	705	1185	100	620	2315	3955
26	De Kalb	Alabama	10520	5505	820	115	1665	525	1290	120	480	2710	4245
27	Elmore	Alabama	8810	4875	575	165	1240	645	830	75	405	2340	3420
28	Escambia	Alabama	7125	3815	490	110	1140	400	770	100	300	1810	2945
29	Etowah	Alabama	22795	11695	1955	310	3975	990	2550	275	1045	5860	9560
30	Fayette	Alabama	3705	2055	275	35	550	155	450	35	150	980	1580
31	Franklin	Alabama	6370	3210	540	45	1055	245	910	75	290	1685	2500
32	Geneva	Alabama	5550	3265	405	85	820	220	550	40	165	1585	2400
33	Greene	Alabama	2125	995	150	60	360	170	235	20	135	530	805
34	Hale	Alabama	3110	1545	210	65	515	215	340	30	190	810	1225
35	Henry	Alabama	3385	1890	255	30	565	180	320	25	120	935	1450
36	Houston	Alabama	14375	8285	945	150	2115	750	1485	110	535	3815	6105
37	Jackson	Alabama	9130	4710	700	95	1430	480	1190	135	390	2360	3535
38	Jefferson	Alabama	127475	68600	9675	2095	21195	7090	12700	1005	5115	32670	55405
39	Lamar	Alabama	3580	2080	190	35	470	185	445	30	145	965	1470
40	Lauderdale	Alabama	16485	8865	1560	145	2655	685	1815	175	585	4455	6975
41	Lawrence	Alabama	5695	2720	485	50	975	340	805	55	265	1430	2125
42	Lee	Alabama	11640	6725	575	105	1555	740	1375	80	485	2945	4740
43	Limestone	Alabama	8655	4580	735	80	1340	450	1025	80	365	2250	3470
44	Lowndes	Alabama	2305	1030	160	40	370	240	265	35	165	550	815
45	Macon	Alabama	3945	2200	220	70	610	290	400	15	140	1020	1710
46	Madison	Alabama	30915	17960	2425	290	4485	1655	2960	205	935	8340	13110
47	Marengo	Alabama	4535	2325	295	85	750	300	475	50	255	1130	1840
48	Marion	Alabama	6510	3555	445	60	955	285	860	70	280	1700	2710
49	Marshall	Alabama	16385	8750	1375	145	2595	690	2005	170	655	4360	6605
50	Mobile	Alabama	64650	34240	4785	1170	9875	4415	6655	665	2845	16540	26310
51	Monroe	Alabama	4490	2355	275	85	695	310	470	55	245	1145	1770
52	Montgomery	Alabama	34065	19375	2035	480	4850	2180	3385	250	1510	8440	14680
53	Morgan	Alabama	17680	9710	1385	220	2695	1035	1875	135	625	4685	7265
54	Perry	Alabama	2705	1345	185	90	430	170	285	30	170	675	1065
55	Pickens	Alabama	4475	2420	260	65	700	255	490	40	245	1180	1770
56	Pike	Alabama	5610	3100	355	70	880	320	610	50	225	1455	2420
57	Randolph	Alabama	4715	2910	200	45	555	250	540	50	165	1280	1970
58	Russell	Alabama	8530	4640	435	95	1300	520	1070	90	380	2100	3345
59	St Clair	Alabama	8465	4215	660	95	1320	525	1110	115	425	2175	3145
60	Shelby	Alabama	12420	6515	975	125	1900	740	1475	130	560	3235	4815
61	Sumter	Alabama	2760	1395	200	55	505	165	260	25	155	705	1175
62	Talladega	Alabama	15790	7875	860	170	2080	820	2610	220	1155	3605	5810
63	Tallapoosa	Alabama	8765	5410	410	75	1095	390	990	70	325	2365	3755
64	Tuscaloosa	Alabama	24815	13055	1580	445	3565	1560	3165	190	1255	6175	9675
65	Walker	Alabama	15190	7085	1205	210	2605	720	2210	275	880	3645	5835
66	Washington	Alabama	3145	1455	240	80	545	225	375	50	175	790	1130
68	Wilcox	Alabama	3210	1370	235	95	525	315	370	35	265	765	1100
69	Winston	Alabama	4545	2245	360	30	715	195	695	85	220	1150	1735
70	Unknown	Alabama	20	10	    	    	5	5	    	    	    	5	10
72	"Alaska, total"	Alaska	39598	22240	2336	701	4107	4033	4252	298	1631	11425	12925
73	Aleutian Islands	Alaska	195	105	10	5	25	35	15	    	    	65	50
74	Anchorage	Alaska	14980	8470	810	210	1480	1360	1880	100	670	4025	5150
75	Angoon	Alaska	100	55	5	    	15	20	    	    	5	25	40
76	BarrowNorth Slope	Alaska	360	120	20	10	65	85	35	5	20	75	85
77	Bethel	Alaska	690	260	75	20	120	110	70	10	25	215	180
78	Bristol Bay Borough	Alaska	205	115	10	5	25	20	20	5	5	70	70
79	Bristol Bay	Alaska	415	205	35	30	60	55	25	    	5	130	135
80	CordovaMcCarthy	Alaska	195	125	15	5	20	15	15	    	    	60	75
81	Fairbanks North Star	Alaska	5025	2820	265	90	490	520	575	45	220	1445	1525
82	Haines	Alaska	315	200	25	10	30	20	15	5	10	110	115
83	Juneau	Alaska	2305	1385	100	40	230	260	210	5	75	660	870
