id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	794015	432383	50446	9976	111013	42620	104921	5639	37017	204043	320183
2	Autauga 	Alabama	6236	3325	370	60	915	355	825	55	330	1580	2370
3	Baldwin	Alabama	25429	16015	1865	260	2870	980	2470	150	820	7900	10205
4	Barbour	Alabama	5140	2690	255	65	705	275	815	45	290	1240	2015
5	Bibb	Alabama	3633	1670	195	45	550	240	630	50	255	850	1265
6	Blount	Alabama	8036	4270	640	60	1225	335	1105	75	325	2175	3170
7	Bullock	Alabama	2562	1255	120	40	370	215	380	10	175	605	975
8	Butler	Alabama	4763	2590	245	60	655	300	620	45	250	1175	1925
9	Calhoun	Alabama	23190	12690	1435	230	3140	1080	3365	160	1090	5700	9420
10	Chambers	Alabama	7908	5095	250	60	795	340	1010	45	315	2085	3485
11	Cherokee	Alabama	4813	2690	290	40	625	205	720	30	210	1315	1820
12	Chilton	Alabama	6799	3430	485	75	1070	370	970	70	330	1745	2615
13	Choctaw	Alabama	3485	1645	210	50	565	215	540	55	205	835	1275
14	Clarke	Alabama	5832	2835	365	115	890	480	745	65	335	1410	2175
15	Clay	Alabama	3205	1810	180	20	370	130	470	30	195	845	1290
16	Cleburne	Alabama	2785	1485	155	35	335	140	480	30	125	705	1015
17	Coffee	Alabama	7896	4620	570	100	1040	360	880	45	280	2165	3285
18	Colbert	Alabama	11914	6185	1000	125	1795	520	1675	110	505	3150	4755
19	Conecuh 	Alabama	3335	1695	185	60	465	190	490	45	205	845	1260
20	Coosa	Alabama	2666	1385	135	30	335	140	460	20	160	690	950
21	Covington	Alabama	9057	5605	430	95	1010	365	1155	55	345	2430	3840
22	Crenshaw	Alabama	3162	1745	170	40	470	155	405	30	145	825	1315
23	Cullman	Alabama	14596	8190	1190	140	2145	615	1660	105	555	4090	6080
24	Dale	Alabama	8075	4365	545	90	1060	420	1080	75	440	2120	3060
25	Dallas	Alabama	9931	5030	450	165	1380	695	1460	85	670	2195	3865
26	De Kalb	Alabama	12892	6915	860	120	1860	630	1845	85	575	3365	5070
27	Elmore	Alabama	9842	5480	550	145	1225	680	1175	60	530	2550	3720
28	Escambia	Alabama	7588	3990	450	80	1125	425	1030	80	410	1845	3030
29	Etowah	Alabama	23216	12005	1790	310	3675	1035	3160	180	1060	5960	9655
30	Fayette	Alabama	4426	2505	260	40	635	190	580	30	185	1145	1920
31	Franklin	Alabama	6703	3460	495	55	1000	275	1060	55	300	1695	2630
32	Geneva	Alabama	5844	3420	340	70	785	235	740	35	220	1615	2435
33	Greene	Alabama	2116	980	105	65	340	170	290	10	155	505	750
34	Hale	Alabama	3119	1530	160	55	490	195	435	25	230	750	1170
35	Henry	Alabama	3561	1975	200	45	535	165	440	30	175	925	1515
36	Houston	Alabama	15821	9125	925	175	2095	760	1990	95	655	4200	6525
37	Jackson	Alabama	9856	5295	660	95	1425	495	1460	70	355	2615	3755
38	Jefferson	Alabama	126014	67815	8325	1890	19490	7015	15135	680	5665	31840	54250
39	Lamar	Alabama	3701	2225	165	30	405	175	530	35	135	970	1500
40	Lauderdale	Alabama	17584	9660	1495	135	2610	735	2205	125	615	4780	7365
41	Lawrence	Alabama	5875	2940	460	60	875	310	900	45	285	1535	2210
42	Lee	Alabama	12703	7350	535	100	1485	730	1795	70	640	3230	4980
43	Limestone	Alabama	9767	5265	730	95	1435	475	1325	65	380	2510	3860
44	Lowndes	Alabama	2454	1045	135	45	330	265	385	30	220	515	785
45	Macon	Alabama	4013	2145	170	60	570	325	555	15	170	960	1625
46	Madison	Alabama	35140	21190	2500	320	4515	1735	3685	135	1060	9725	14705
47	Marengo	Alabama	4499	2340	240	75	650	260	615	35	285	1105	1760
48	Marion	Alabama	6342	3545	335	55	830	260	1010	40	265	1625	2525
49	Marshall	Alabama	15341	8490	1105	130	2250	625	2060	95	590	4125	6220
50	Mobile	Alabama	67815	35745	4485	1190	9515	4505	8510	595	3270	17045	26935
51	Monroe	Alabama	4749	2525	250	90	635	290	615	45	300	1170	1840
52	Montgomery	Alabama	35665	20165	1925	460	4570	2210	4330	195	1810	8760	14900
53	Morgan	Alabama	18771	10585	1320	205	2690	1010	2260	80	620	5010	7800
54	Perry	Alabama	2819	1385	160	85	395	175	410	25	185	675	1050
55	Pickens	Alabama	4581	2500	215	70	600	270	630	30	265	1190	1780
56	Pike	Alabama	5717	3110	285	55	790	335	790	50	305	1410	2320
57	Randolph	Alabama	4709	2945	175	45	480	225	645	30	165	1265	1930
58	Russell	Alabama	9387	5185	430	100	1330	570	1290	60	420	2360	3685
59	St Clair	Alabama	9713	4950	695	125	1420	490	1465	95	475	2475	3610
60	Shelby	Alabama	15411	8480	1105	160	2090	865	1955	105	655	4130	5985
