id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	800875	438447	49130	9768	109199	42398	109674	5164	37095	205423	320568
2	Autauga	Alabama	6434	3445	375	70	905	370	870	50	350	1630	2425
3	Baldwin	Alabama	26190	16605	1845	255	2885	995	2610	145	850	8145	10390
4	Barbour	Alabama	5260	2765	235	65	715	285	845	45	305	1255	2040
5	Bibb	Alabama	3659	1705	210	55	525	230	655	45	235	860	1255
6	Blount	Alabama	8150	4385	640	55	1180	340	1160	60	330	2240	3190
7	Bullock	Alabama	2494	1230	105	30	365	210	385	10	160	570	945
8	Butler	Alabama	4874	2670	230	65	655	295	665	45	250	1210	1955
9	Calhoun	Alabama	23521	12845	1390	245	3100	1065	3605	150	1125	5705	9420
10	Chambers	Alabama	7892	5070	245	70	765	320	1085	30	310	2055	3445
11	Cherokee	Alabama	4862	2790	280	35	600	195	745	25	195	1345	1815
12	Chilton	Alabama	6894	3490	455	80	1075	355	1020	70	350	1740	2635
13	Choctaw	Alabama	3495	1645	205	50	540	210	570	55	220	830	1235
14	Clarke	Alabama	5855	2900	365	100	875	475	750	60	330	1410	2170
15	Clay	Alabama	3215	1825	175	20	360	125	505	25	180	865	1265
16	Cleburne	Alabama	2829	1510	150	35	335	140	500	25	130	715	1010
17	Coffee	Alabama	8212	4800	575	100	1045	380	970	45	300	2235	3360
18	Colbert	Alabama	12055	6305	970	125	1775	520	1760	90	510	3180	4750
19	Conecuh	Alabama	3373	1710	175	50	450	185	530	40	235	845	1220
20	Coosa	Alabama	2628	1385	115	40	320	125	485	10	145	680	940
21	Covington	Alabama	9071	5630	430	105	1025	375	1145	50	315	2460	3830
22	Crenshaw	Alabama	3146	1765	155	40	455	155	415	25	140	825	1285
23	Cullman	Alabama	14776	8365	1165	150	2120	615	1725	100	535	4160	6175
24	Dale	Alabama	8177	4385	545	85	1035	435	1160	70	460	2145	3050
25	Dallas	Alabama	9964	5025	445	170	1340	720	1535	85	645	2155	3820
26	De Kalb	Alabama	13109	7105	840	140	1855	610	1930	85	545	3445	5155
27	Elmore	Alabama	10071	5615	535	145	1220	680	1275	60	540	2585	3740
28	Escambia	Alabama	7631	4065	445	80	1065	410	1095	70	400	1875	2985
29	Etowah	Alabama	23147	11995	1720	305	3625	1005	3290	165	1040	5855	9560
30	Fayette	Alabama	4257	2430	240	30	580	190	575	25	185	1085	1820
31	Franklin	Alabama	6732	3500	490	65	980	260	1085	50	300	1690	2635
32	Geneva	Alabama	5914	3450	330	65	750	245	780	45	250	1580	2420
33	Greene	Alabama	2154	995	100	60	325	165	340	15	155	500	745
34	Hale	Alabama	3223	1565	160	50	495	210	480	25	240	765	1190
35	Henry	Alabama	3565	2035	190	40	515	175	435	20	155	925	1525
36	Houston	Alabama	16122	9375	895	175	2040	755	2130	90	665	4290	6565
37	Jackson	Alabama	9997	5415	640	90	1400	470	1540	70	370	2630	3775
38	Jefferson	Alabama	125037	67590	7970	1830	18865	6925	15615	620	5620	31570	53515
39	Lamar	Alabama	3771	2280	160	30	405	165	550	30	150	985	1495
40	Lauderdale	Alabama	17808	9850	1460	140	2600	725	2305	110	615	4845	7425
41	Lawrence	Alabama	5819	2965	445	60	835	290	920	45	260	1535	2200
42	Lee	Alabama	13099	7550	550	100	1495	740	1910	70	685	3290	5100
43	Limestone	Alabama	9932	5390	725	90	1425	490	1365	60	385	2540	3900
44	Lowndes	Alabama	2460	1060	125	40	330	245	410	30	220	515	805
45	Macon	Alabama	3965	2135	155	55	545	315	560	20	180	935	1610
46	Madison	Alabama	35921	21860	2485	310	4530	1750	3805	115	1065	10090	15090
47	Marengo	Alabama	4562	2355	245	70	630	260	660	40	300	1105	1760
48	Marion	Alabama	6477	3640	325	60	840	255	1035	40	280	1635	2545
49	Marshall	Alabama	15568	8680	1080	120	2210	640	2155	90	595	4160	6305
50	Mobile	Alabama	68044	36015	4405	1160	9425	4490	8760	560	3230	17035	26880
51	Monroe	Alabama	4762	2555	230	95	625	290	645	40	285	1185	1830
52	Montgomery	Alabama	35725	20310	1880	440	4450	2175	4525	170	1775	8810	14825
53	Morgan	Alabama	19100	10870	1310	200	2715	975	2355	75	600	5085	7915
54	Perry	Alabama	2740	1335	145	80	380	180	410	20	190	660	990
55	Pickens	Alabama	4520	2480	205	60	580	280	645	30	240	1145	1745
56	Pike	Alabama	5427	2995	245	50	745	320	750	35	285	1330	2210
57	Randolph	Alabama	4757	2960	165	45	465	220	680	25	195	1260	1935
58	Russell	Alabama	9400	5250	425	100	1270	545	1350	55	405	2360	3690
59	St Clair	Alabama	9957	5115	675	115	1415	520	1530	85	500	2560	3660
60	Shelby	Alabama	16084	8975	1160	145	2125	855	2040	95	690	4355	6275
61	Sumter	Alabama	2846	1390	165	45	470	175	395	25	180	665	1125
62	Talladega	Alabama	16621	8155	795	160	1985	820	3345	135	1225	3735	5865
63	Tallapoosa	Alabama	9016	5430	345	70	950	420	1355	40	405	2300	3710
64	Tuscaloosa	Alabama	26920	14470	1440	390	3375	1545	4145	155	1400	6700	10475
65	Walker	Alabama	16028	7540	1060	185	2505	770	2915	175	880	3800	5840
66	Washington	Alabama	3525	1605	225	70	530	220	560	50	265	820	1195
68	Wilcox	Alabama	2987	1235	160	70	470	265	480	25	285	640	1005
69	Winston	Alabama	5033	2580	330	45	715	225	835	55	250	1285	1900
71	"Alaska, total"	Alaska	49452	27920	2634	891	4586	4541	6311	273	2296	14072	15881
72	Aleutian Islands	Alaska	217	120	10	5	35	25	20	    	    	75	60
73	Anchorage	Alaska	19039	10910	915	250	1615	1470	2820	85	975	5150	6405
74	Angoon	Alaska	90	40	5	    	10	15	10	    	10	15	30
75	BarrowNorth Slope	Alaska	468	180	30	20	50	120	45	5	20	100	105
76	Bethel	Alaska	1163	420	120	60	190	220	100	5	45	305	300
77	Bristol Bay Borough	Alaska	107	65	5	    	10	10	15	    	    	40	25
78	Bristol Bay	Alaska	533	255	40	20	65	85	35	5	30	155	145
79	CordovaMcCarthy	Alaska	209	130	20	    	20	15	20	    	5	70	70
80	Fairbanks North Star	Alaska	5781	3330	270	80	530	540	755	30	245	1700	1830
81	Haines	Alaska	338	225	20	5	35	15	30	5	5	125	125
82	Juneau	Alaska	2594	1580	110	30	215	280	265	5	110	705	960
83	KenaiCook Inlet	Alaska	4586	2690	275	60	380	335	590	35	220	1375	1420
84	Ketchikan Gateway	Alaska	1519	970	90	15	125	90	175	5	50	505	555
85	Kobuk	Alaska	571	185	40	55	75	130	45	10	30	125	130
86	Kodiak Island	Alaska	833	515	40	10	75	75	75	5	40	280	265
87	Kuskokwim	Alaska	28	10	    	    	5	5	5	    	5	5	10
88	MatanuskaSusitna	Alaska	5040	2760	280	65	450	395	720	50	320	1400	1485
89	Nome	Alaska	821	325	60	60	115	175	60	    	25	205	210
90	Outer Ketchikan	Alaska	163	95	10	    	20	10	20	    	5	45	55
91	Prince Of Wales	Alaska	259	155	15	5	20	15	40	    	10	85	65
92	Seward	Alaska	532	335	30	5	55	35	55	5	15	175	185
93	Sitka	Alaska	866	565	35	5	85	60	85	    	35	255	340
94	SkagwayYakutat	Alaska	265	170	10	10	20	15	35	    	5	90	85
95	Southeast Fairbanks	Alaska	603	345	35	20	65	30	85	5	15	190	170
96	Upper Yukon	Alaska	33	15	5	    	5	5	5	    	    	5	10
97	ValdezChitinaWhittier	Alaska	632	390	30	15	60	55	65	    	15	225	180
98	Wads Hampton	Alaska	647	220	65	55	100	145	35	5	20	150	150
99	WrangellPetersburg	Alaska	822	560	40	10	70	55	75	    	15	280	320
100	YukonKoyukuk	Alaska	685	355	50	15	90	105	45	5	20	230	190
102	"Arizona, total"	Arizona	755158	490565	50388	6653	74563	29627	77424	2808	23130	238002	312025
103	Apache	Arizona	7621	3170	680	225	1185	1130	810	65	355	1970	2300
104	Cochise	Arizona	20566	12695	1670	280	2135	720	2215	150	700	6670	7725
105	Coconino	Arizona	11672	6390	850	155	1255	1055	1395	45	525	3305	3995
106	Gila	Arizona	12777	8115	990	90	1345	485	1320	70	365	4205	4935
107	Graham	Arizona	4908	2735	470	85	650	240	510	40	175	1485	1935
108	Greenlee	Arizona	1328	750	160	15	160	85	110	10	40	445	480
109	La Paz	Arizona	4030	2755	230	30	345	125	420	15	110	1530	1380
110	Maricopa	Arizona	408182	269860	25470	2900	40100	15295	40775	1155	12625	126620	175830
111	Mohave	Arizona	37180	25840	1985	320	2965	960	4130	155	825	12815	14000
112	Navajo	Arizona	12886	6710	1005	250	1400	1225	1565	100	630	3650	4090
113	Pima	Arizona	137510	88115	10025	1235	14260	4770	14540	535	4030	42805	58365
114	Pinal	Arizona	29080	18250	1955	330	2600	1380	3405	135	1025	9430	10485
115	Santa Cruz	Arizona	5112	3045	515	130	570	240	400	40	170	1600	1950
116	Yavapai	Arizona	41854	28965	2905	280	3645	980	3920	180	975	14465	17045
117	Yuma	Arizona	20439	13155	1480	335	1940	940	1915	100	575	7005	7500
119	"Arkansas, total "	Arkansas	515948	291766	31031	5229	64296	23432	72365	3118	24711	139470	204450
120	Arkansas	Arkansas	4597	2570	350	55	730	190	525	25	155	1285	2020
121	Ashley	Arkansas	5050	2585	360	70	755	275	720	40	245	1305	1980
122	Baxter	Arkansas	12986	9075	710	85	1155	225	1290	60	385	4365	5325
123	Benton	Arkansas	27670	18150	1935	175	2490	855	2910	70	1085	8845	11155
124	Boone	Arkansas	8174	4600	505	55	940	305	1295	50	425	2235	3110
125	Bradley	Arkansas	2949	1540	195	25	495	145	395	25	125	785	1220
126	Calhoun	Arkansas	1305	660	65	20	200	65	220	5	70	330	485
127	Carroll	Arkansas	4984	3150	275	40	515	175	615	25	190	1475	1975
128	Chicot	Arkansas	3132	1610	170	65	475	190	440	20	160	805	1205
129	Clark	Arkansas	4694	2765	305	50	640	190	560	25	160	1315	1995
130	Clay	Arkansas	4630	2590	335	35	720	180	585	20	165	1260	1995
131	Cleburne	Arkansas	6495	4030	480	45	710	185	775	40	230	2015	2550
132	Cleveland	Arkansas	1618	845	115	10	250	60	255	15	70	435	605
133	Columbia	Arkansas	6051	3190	410	90	955	285	790	35	295	1575	2500
134	Conway	Arkansas	4680	2645	245	45	520	165	775	35	250	1240	1850
135	Craighead	Arkansas	12995	7285	765	120	1755	620	1880	65	505	3365	5300
136	Crawford	Arkansas	9637	4765	550	90	1050	450	1910	75	745	2340	3180
137	Crittenden	Arkansas	7873	3805	340	135	1170	685	1180	55	505	1835	2795
138	Cross	Arkansas	3739	1905	260	55	550	245	505	25	195	980	1475
139	Dallas	Arkansas	2306	1160	145	20	345	125	375	10	125	590	915
140	Desha	Arkansas	3059	1545	180	50	490	205	400	20	170	755	1260
141	Drew	Arkansas	3196	1740	155	35	470	190	440	20	150	810	1255
142	Faulkner	Arkansas	11191	6545	620	110	1220	555	1525	60	555	3005	4410
143	Franklin	Arkansas	3741	1955	205	20	480	150	690	25	215	985	1360
144	Fulton	Arkansas	3000	1575	225	40	370	110	480	25	175	820	1105
145	Garland	Arkansas	24112	16055	1560	170	2520	705	2380	105	615	7695	10230
146	Grant	Arkansas	2665	1390	220	20	410	105	390	20	110	700	1075
147	Greene	Arkansas	7559	4185	495	60	1015	305	1115	50	335	1990	3060
148	Hempstead	Arkansas	4304	2450	235	55	630	210	550	10	165	1135	1845
149	Hot Spring	Arkansas	6395	3595	440	50	865	285	850	45	265	1840	2485
150	Howard	Arkansas	2977	1715	195	25	440	145	330	10	120	845	1275
151	Independence	Arkansas	7354	4045	420	50	890	275	1235	60	380	1920	2820
152	Izard	Arkansas	3872	2305	240	30	430	125	545	35	165	1160	1490
153	Jackson	Arkansas	4385	2375	255	35	660	180	660	35	185	1170	1795
154	Jefferson	Arkansas	14396	7665	795	190	1940	875	2025	105	800	3475	5835
155	Johnson	Arkansas	4852	2540	305	40	630	190	840	50	255	1315	1785
156	Lafayette	Arkansas	1778	875	105	35	295	85	280	15	90	435	715
157	Lawrence	Arkansas	4528	2445	305	50	675	145	665	35	210	1250	1825
158	Lee	Arkansas	2495	1175	175	45	410	200	325	20	145	620	945
159	Lincoln	Arkansas	2212	1115	150	25	345	125	315	15	120	545	860
160	Little River	Arkansas	2693	1485	195	30	400	115	355	10	105	715	1085
161	Logan	Arkansas	5339	2750	365	65	665	190	905	60	340	1405	1960
162	Lonoke	Arkansas	7070	3745	430	65	955	380	1050	45	400	1775	2695
163	Madison	Arkansas	3044	1625	215	35	335	125	500	25	185	855	1085
164	Marion	Arkansas	4047	2410	225	25	360	110	635	50	235	1195	1395
165	Miller	Arkansas	6948	3905	370	85	1025	330	880	40	310	1760	2955
166	Mississippi	Arkansas	9588	4870	495	155	1325	660	1475	55	550	2255	3645
167	Monroe	Arkansas	2409	1270	165	35	405	115	295	20	105	640	1005
168	Montgomery	Arkansas	2136	1280	150	25	235	80	280	20	65	635	820
169	Nevada	Arkansas	2217	1205	140	30	340	130	275	10	85	575	910
170	Newton	Arkansas	2031	915	135	30	245	80	430	20	175	515	620
171	Ouachita	Arkansas	6975	3715	410	90	1030	320	1005	45	360	1805	2850
172	Perry	Arkansas	2210	1140	130	20	260	110	390	25	135	570	780
173	Phillips	Arkansas	6005	2805	305	160	920	550	790	55	420	1395	2160
174	Pike	Arkansas	2521	1445	205	25	385	80	275	15	90	745	1035
175	Poinsett	Arkansas	5478	2750	345	50	865	270	915	40	245	1380	2130
176	Polk	Arkansas	4805	2830	355	50	595	185	555	55	180	1440	1890
177	Pope	Arkansas	9981	5295	575	80	1140	390	1780	95	625	2520	3635
178	Prairie	Arkansas	2117	1125	150	20	350	85	300	10	75	595	855
179	Pulaski	Arkansas	57741	33255	2730	745	6570	3460	7930	205	2850	14105	24080
180	Randolph	Arkansas	4384	2435	270	30	595	170	660	25	195	1200	1725
181	St Francis	Arkansas	5430	2750	270	90	785	380	765	40	350	1330	2050
182	Saline	Arkansas	13212	7930	845	90	1450	600	1725	65	505	3845	5020
183	Scott	Arkansas	2837	1415	180	25	355	95	520	30	215	720	1000
184	Searcy	Arkansas	2328	1220	145	35	305	70	400	20	130	650	840
186	Sebastian	Arkansas	20513	11460	1230	150	2495	795	3185	90	1110	5290	8390
187	Sevier	Arkansas	2845	1605	195	25	415	140	320	15	130	810	1135
188	Sharp	Arkansas	5678	3530	365	40	600	145	725	45	230	1775	2185
189	Stone	Arkansas	3232	1735	210	20	390	115	575	30	155	920	1085
190	Union	Arkansas	10498	5515	615	105	1535	550	1545	80	550	2630	4340
191	Van Buren	Arkansas	4874	3060	340	50	480	130	580	35	195	1555	1900
192	Washington	Arkansas	21732	12425	1195	145	2395	840	3490	70	1170	5790	8480
193	White	Arkansas	12584	7215	810	125	1585	515	1650	105	580	3480	5040
194	Woodruff	Arkansas	2040	1030	135	25	360	120	295	10	65	520	860
195	Yell	Arkansas	4752	2420	305	45	570	185	890	40	300	1185	1770
197	"California, total"	California	4060885	2592286	290078	46360	431486	171921	404574	14230	109950	1262169	1741974
198	Alameda	California	162133	102075	10600	1975	17260	7030	18170	375	4650	48065	70705
199	Alpine	California	135	95	10	10	5	5	10	    	    	45	45
200	Amador	California	7547	5160	595	55	770	200	600	20	150	2655	3185
201	Butte	California	40494	25780	2920	325	4320	1240	4475	210	1225	12775	17275
202	Calaveras	California	9262	6160	695	80	860	270	925	30	240	3155	3570
203	Colusa	California	2865	1710	255	15	355	115	280	25	110	940	1145
204	Contra Costa	California	122758	78030	9305	1095	13890	4560	11900	320	3660	37695	54465
205	Del Norte	California	5055	2805	335	55	530	190	815	60	265	1480	1800
