id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	778021	418630	52854	10205	115482	42691	95014	7114	36031	199865	315697
2	Autauga	Alabama	5837	3090	370	75	905	340	700	55	300	1490	2225
3	Baldwin	Alabama	23409	14515	1860	240	2885	930	2025	185	770	7265	9510
4	Harbour	Alabama	5284	2765	300	60	790	295	750	55	270	1305	2130
5	Bibb	Alabama	3620	1630	235	50	615	240	565	60	225	855	1300
6	Blount	Alabama	7156	3720	615	60	1180	310	930	75	265	1905	2865
7	Bullock	Alabama	2466	1190	130	40	395	220	310	15	165	585	945
8	Butler	Alabama	4819	2565	265	70	710	315	575	55	265	1180	1975
9	Calhoun	Alabama	22396	12190	1475	210	3240	1025	3010	205	1040	5540	9195
10	Chambers	Alabama	8208	5195	280	65	910	375	950	55	380	2180	3555
11	Cherokee	Alabama	5087	2750	360	55	725	235	690	50	220	1390	1930
12	Chilton	Alabama	6608	3285	510	70	1070	390	885	85	315	1695	2515
13	Choctaw	Alabama	3395	1575	230	55	595	215	480	55	190	830	1255
14	Clarke	Alabama	5481	2670	355	110	915	460	610	70	290	1335	2085
15	Clay	Alabama	3141	1755	180	30	410	155	415	40	155	825	1260
16	Cleburne	Alabama	2768	1475	170	30	345	135	435	40	140	695	1025
17	Coffee	Alabama	7567	4400	580	100	1030	340	790	60	265	2050	3180
18	Colbert	Alabama	11701	5910	1030	130	1870	540	1580	130	510	3020	4655
19	Conecuh 	Alabama	3406	1745	205	50	505	200	445	50	205	870	1315
20	Coosa	Alabama	2659	1355	150	30	345	130	455	35	160	665	930
21	Covington	Alabama	8890	5440	440	100	1120	390	1040	65	295	2380	3805
22	Crenshaw	Alabama	3166	1735	190	45	500	165	370	30	130	840	1315
23	Cullman	Alabama	14537	7985	1250	145	2215	660	1595	135	555	4010	6060
24	Dale	Alabama	7683	4165	535	110	1095	405	920	80	370	2045	2940
25	Dallas	Alabama	10011	5085	485	170	1460	675	1345	95	695	2270	3935
26	De Kalb	Alabama	10859	5770	770	105	1660	540	1420	100	495	2820	4380
27	Elmore	Alabama	9671	5375	580	160	1280	690	1040	85	460	2535	3720
28	Escambia	Alabama	7307	3905	475	100	1135	415	855	90	330	1825	2980
29	Etowah	Alabama	22109	11340	1795	295	3730	970	2765	220	995	5685	9305
30	Fayette	Alabama	3800	2095	245	40	545	155	500	30	190	990	1580
31	Franklin	Alabama	6561	3335	520	60	1045	255	975	65	305	1690	2595
32	Geneva	Alabama	5843	3370	370	80	840	250	680	55	200	1585	2465
33	Greene	Alabama	2101	970	140	65	350	165	260	20	130	515	775
34	Hale	Alabama	3206	1555	190	50	525	225	395	35	230	780	1230
35	Henry	Alabama	3488	1935	225	35	575	180	370	35	135	935	1505
36	Houston	Alabama	15121	8575	940	175	2140	755	1765	130	640	3910	6270
37	Jackson	Alabama	9891	5150	710	110	1500	510	1405	115	390	2580	3780
38	Jefferson	Alabama	127735	68405	9060	2010	20760	7110	13910	910	5570	32525	55195
39	Lamar	Alabama	3705	2195	180	40	445	160	500	35	150	990	1515
40	Lauderdale	Alabama	17120	9250	1540	135	2665	685	2050	160	635	4670	7170
41	Lawrence	Alabama	5628	2720	470	55	875	315	855	50	285	1440	2060
42	Lee	Alabama	11930	6830	535	100	1520	720	1555	80	590	2985	4715
43	Limestone	Alabama	9323	4935	740	90	1420	455	1230	70	380	2390	3735
44	Lowndes	Alabama	2413	1035	150	50	365	250	325	35	200	535	805
45	Macon	Alabama	4015	2190	200	70	570	315	490	20	160	995	1685
46	Madison	Alabama	33069	19385	2455	320	4615	1670	3410	190	1025	8935	13870
47	Marengo	Alabama	4534	2330	270	80	720	300	525	45	265	1125	1815
48	Marion	Alabama	6679	3630	415	65	955	290	970	65	290	1730	2715
49	Marshall	Alabama	17603	9475	1435	150	2675	720	2250	165	735	4685	7075
50	Mobile	Alabama	66594	35055	4700	1190	9820	4525	7530	680	3090	16855	26720
51	Monroe	Alabama	4652	2470	250	100	680	315	520	60	260	1175	1815
52	Montgomery	Alabama	35372	19690	1980	495	4820	2265	4025	265	1830	8635	14825
53	Morgan	Alabama	18332	10185	1345	210	2700	1005	2100	115	670	4860	7495
54	Perry	Alabama	2706	1320	165	95	410	175	340	35	165	645	1040
55	Pickens	Alabama	4495	2435	235	60	660	275	555	30	245	1150	1765
56	Pike	Alabama	5694	3115	325	55	830	340	690	55	285	1460	2365
57	Randolph	Alabama	4607	2845	185	40	490	260	580	40	170	1250	1880
58	Russell	Alabama	9339	5085	450	100	1405	580	1240	80	400	2300	3660
59	St Clair	Alabama	9115	4565	685	110	1365	515	1290	115	470	2330	3345
60	Shelby	Alabama	13748	7365	1055	120	2005	790	1670	120	620	3655	5395
61	Sumter	Alabama	2807	1385	200	50	485	165	320	30	170	695	1160
62	Talladega	Alabama	16269	8010	840	175	2110	820	2915	200	1200	3665	5855
63	Tallapoosa	Alabama	8482	5090	355	70	990	375	1135	70	395	2190	3530
64	Tuscaloosa	Alabama	25727	13530	1545	395	3575	1565	3590	180	1345	6430	10005
65	Walker	Alabama	15623	7240	1140	215	2580	740	2485	275	945	3690	5915
66	Washington	Alabama	3399	1555	225	75	565	220	465	60	235	825	1160
