id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama,-total"	Alabama	482408	294352	18606	3291	70203	19834	68118	1019	6985	157503	185027
2	Autauga	Alabama	3588	2151	130	18	539	167	509	9	61	1149	1291
3	Baldwin	Alabama	15910	10853	686	83	1936	477	1684	28	161	6106	5842
4	Barbour	Alabama	2769	1640	86	20	377	110	483	8	47	863	1044
5	Bibb	Alabama	2034	1060	70	16	334	108	395	9	40	606	689
6	Blount	Alabama	4688	2748	211	22	730	158	742	13	63	1559	1675
7	Bullock	Alabama	1261	714	33	11	181	86	209	2	25	378	458
8	Butler	Alabama	2583	1567	76	16	367	126	380	7	45	785	1001
9	Calhoun	Alabama	13497	8172	476	61	1904	496	2152	29	204	4128	5231
10	Chambers	Alabama	5133	3585	94	20	498	171	686	8	73	1680	2146
11	Cherokee	Alabama	2737	1667	97	10	357	94	465	7	40	916	933
12	Chilton	Alabama	4008	2248	169	25	648	183	657	13	66	1269	1405
13	Choctaw	Alabama	1929	1023	69	13	298	102	373	10	41	584	626
14	Clarke	Alabama	3255	1844	121	28	516	201	479	10	56	1028	1156
15	Clay	Alabama	1754	1098	56	8	211	64	283	5	27	562	669
16	Cleburne	Alabama	1546	905	50	10	177	60	312	5	28	459	529
17	Coffee	Alabama	4502	2919	190	30	619	165	524	9	46	1548	1755
18	Colbert	Alabama	7613	4411	381	49	1251	266	1128	22	105	2578	2789
19	Conecuh-	Alabama	1825	1054	57	18	246	86	326	7	30	573	658
20	Coosa	Alabama	1534	890	50	9	190	63	302	2	27	487	510
21	Covington	Alabama	5223	3446	142	29	611	183	738	9	65	1675	2105
22	Crenshaw	Alabama	1709	1043	55	11	253	75	245	3	26	547	660
23	Cullman	Alabama	8575	5324	399	45	1259	312	1121	18	97	2978	3221
24	Dale	Alabama	4421	2689	173	30	607	194	646	12	68	1470	1574
25	Dallas	Alabama	5426	3188	151	43	781	301	843	13	107	1569	2136
26	De-Kalb	Alabama	6571	3895	249	35	990	263	1031	14	95	2102	2458
27	Elmore	Alabama	5833	3663	195	49	757	322	742	11	96	1915	2120
28	Escambia	Alabama	4431	2673	165	32	644	191	641	15	70	1407	1662
29	Etowah	Alabama	14676	8601	686	108	2490	476	2078	34	201	4857	5837
30	Fayette	Alabama	2312	1445	79	13	304	78	353	6	33	741	923
31	Franklin	Alabama	4109	2343	187	18	631	131	719	13	67	1325	1460
32	Geneva	Alabama	3159	2025	105	20	439	105	421	6	38	1073	1232
33	Greene	Alabama	1070	587	34	15	169	64	172	2	26	327	379
34	Hale	Alabama	1699	962	50	17	262	93	275	4	36	514	619
35	Henry	Alabama	1970	1210	69	9	305	78	270	4	24	635	798
36	Houston	Alabama	9334	5950	324	51	1282	349	1242	14	121	3100	3628
37	Jackson	Alabama	5873	3460	225	32	849	227	987	13	78	1905	2050
38	Jefferson	Alabama	85908	52491	3570	714	14149	3483	10215	135	1150	28419	35770
39	Lamar	Alabama	2081	1344	55	9	230	76	330	6	27	657	785
40	Lauderdale	Alabama	11338	6953	586	44	1751	356	1491	25	132	3984	4337
41	Lawrence	Alabama	3101	1710	139	19	465	140	570	8	52	993	1035
42	Lee	Alabama	7694	4921	206	32	921	342	1143	12	120	2470	2891
43	Limestone	Alabama	5318	3158	230	27	798	209	810	10	74	1693	1934
44	Lowndes	Alabama	1179	611	43	12	171	91	219	5	27	327	392
45	Macon	Alabama	2110	1297	58	16	273	120	314	3	30	624	867
46	Madison	Alabama	21023	13680	884	111	2836	820	2452	25	216	7065	8118
47	Marengo	Alabama	2586	1568	91	21	358	124	374	5	47	846	957
48	Marion	Alabama	3694	2235	120	21	482	124	652	9	54	1154	1378
49	Marshall	Alabama	9390	5702	401	40	1358	312	1427	19	131	3083	3466
50	Mobile	Alabama	42474	25424	1761	406	6384	2056	5720	102	619	13948	16175
51	Monroe	Alabama	2683	1636	79	26	358	124	402	6	54	847	993
52	Montgomery	Alabama	21769	13922	747	157	2986	966	2639	34	319	6869	9096
53	Morgan	Alabama	11871	7367	495	76	1728	506	1543	20	138	3963	4505
54	Perry	Alabama	1354	788	41	19	195	63	221	3	25	400	518
55	Pickens	Alabama	2511	1562	69	22	318	116	381	4	39	816	930
56	Pike	Alabama	3129	1980	97	17	411	133	438	8	44	1013	1238
57	Randolph	Alabama	2645	1782	57	13	254	105	395	5	31	837	1036
58	Russell	Alabama	5417	3308	145	31	753	249	837	13	81	1664	2017
59	St-Clair	Alabama	5792	3334	251	42	860	250	945	16	94	1886	1973
60	Shelby	Alabama	9917	6116	438	50	1388	440	1321	21	142	3442	3593
61	Sumter	Alabama	1473	842	52	12	246	71	221	2	27	455	585
62	Talladega	Alabama	9818	5595	289	61	1241	376	2030	23	205	2885	3441
63	Tallapoosa	Alabama	5406	3638	131	21	573	171	785	8	78	1734	2179
64	Tuscaloosa	Alabama	16101	9710	545	123	2191	714	2530	24	264	5118	6063
65	Walker	Alabama	9950	5302	406	76	1596	360	1963	44	204	3012	3455
66	Washington	Alabama	1973	1033	77	25	299	110	371	7	49	604	614
68	Wilcox	Alabama	1443	750	53	16	222	104	253	5	39	440	480
69	Winston	Alabama	2693	1513	103	11	386	94	527	14	45	857	928
70	Unknown	Alabama	14	6	1	1	2	2	4			3	5
72	"Alaska,-total"	Alaska	29161	18604	902	243	2840	2178	3927	46	422	10474	9042
73	Aleutian-Islands	Alaska	129	86	3	1	21	11	6		1	58	36
74	Anchorage	Alaska	11620	7405	343	78	1067	789	1749	13	176	3944	3783
75	Angoon	Alaska	48	31	1	2	4	7	5		1	19	13
76	BarrowNorth-Slope	Alaska	274	119	10	10	27	65	36	1	4	77	55
77	Bethel	Alaska	402	181	21	9	68	77	39	1	5	141	86
78	Bristol-Bay-Borough	Alaska	68	43	2		8	3	8		2	34	15
79	Bristol-Bay	Alaska	219	126	9	4	28	29	20	1	4	92	56
80	CordovaMcCarthy	Alaska	138	97	8	1	13	8	12		1	60	45
