id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	412057	252897	17510	2885	62885	17807	51581	1098	5394	136653	160351
2	Autauga	Alabama	2913	1769	113	16	444	154	361	10	46	963	1054
3	Baldwin	Alabama	12390	8478	595	69	1577	391	1138	27	115	4809	4627
4	Barbour	Alabama	2426	1489	87	15	367	100	330	6	32	794	952
5	Bibb	Alabama	1727	899	71	13	312	91	300	8	33	517	610
6	Blount	Alabama	3547	2069	188	16	578	138	508	10	40	1216	1287
7	Bullock	Alabama	1062	622	35	10	154	72	150	1	18	340	397
8	Butler	Alabama	2277	1411	76	16	328	124	283	5	34	729	910
9	Calhoun	Alabama	11265	6893	440	54	1699	428	1567	32	152	3485	4523
10	Chambers	Alabama	4670	3330	91	16	484	163	522	9	55	1578	1982
11	Cherokee	Alabama	2630	1576	105	14	389	112	392	8	34	886	925
12	Chilton	Alabama	3260	1859	161	21	544	159	457	11	48	1085	1151
13	Choctaw	Alabama	1599	875	69	12	260	86	261	7	29	527	542
14	Clarke	Alabama	2669	1534	109	27	449	190	313	8	39	861	994
15	Clay	Alabama	1457	909	48	7	186	57	226	5	19	468	557
16	Cleburne	Alabama	1285	748	45	6	166	57	238	4	21	389	459
17	Coffee	Alabama	3717	2426	174	20	519	140	399	7	32	1289	1465
18	Colbert	Alabama	6603	3867	370	38	1103	224	895	21	85	2287	2448
19	Conecuh	Alabama	1612	950	59	13	239	73	241	8	29	503	615
20	Coosa	Alabama	1149	682	38	5	149	49	203	3	20	377	379
21	Covington	Alabama	4642	3064	134	32	577	159	610	13	53	1515	1879
22	Crenshaw	Alabama	1425	892	52	8	218	59	175	4	17	471	582
23	Cullman	Alabama	7352	4490	374	45	1114	296	923	22	88	2529	2760
24	Dale	Alabama	3530	2169	151	23	510	163	452	10	52	1192	1252
25	Dallas	Alabama	4804	2913	154	36	702	265	643	13	78	1470	1923
26	De Kalb	Alabama	5259	3096	220	29	814	224	780	17	79	1667	1970
27	Elmore	Alabama	4672	2954	175	44	652	273	500	11	63	1587	1732
28	Escambia	Alabama	3760	2279	149	27	582	170	487	16	50	1232	1433
29	Etowah	Alabama	13023	7669	661	97	2331	438	1609	44	174	4333	5171
30	Fayette	Alabama	1885	1181	76	7	258	69	266	5	23	604	756
31	Franklin	Alabama	3361	1909	163	13	555	105	555	13	48	1119	1196
32	Geneva	Alabama	2737	1774	109	20	391	84	326	6	27	961	1092
33	Greene	Alabama	919	522	37	12	148	55	127	2	16	296	341
34	Hale	Alabama	1400	815	50	12	225	82	188	3	25	456	534
35	Henry	Alabama	1674	1046	72	6	270	72	190	3	15	572	668
36	Houston	Alabama	7648	4934	289	40	1105	303	881	13	83	2589	3036
37	Jackson	Alabama	4745	2768	198	24	719	201	749	20	66	1522	1682
38	Jefferson	Alabama	77341	47757	3566	674	13079	3200	8012	157	896	26075	32222
39	Lamar	Alabama	1747	1115	52	9	213	73	260	3	22	563	671
40	Lauderdale	Alabama	9625	5901	538	44	1544	308	1156	29	105	3351	3705
41	Lawrence	Alabama	2887	1541	136	15	475	146	512	10	52	890	960
42	Lee	Alabama	6498	4220	192	31	818	315	832	10	80	2109	2519
43	Limestone	Alabama	4423	2616	208	22	676	195	628	12	66	1429	1612
44	Lowndes	Alabama	983	534	40	7	156	77	147	3	19	301	353
45	Macon	Alabama	1872	1196	60	16	256	97	222	2	23	582	803
46	Madison	Alabama	16617	10674	734	79	2391	719	1826	31	163	5569	6576
47	Marengo	Alabama	2261	1369	89	19	347	114	282	5	36	749	864
48	Marion	Alabama	3334	2023	122	17	460	120	532	10	50	1058	1279
49	Marshall	Alabama	8370	5008	394	39	1287	291	1218	24	109	2745	3103
50	Mobile	Alabama	36646	22228	1662	343	5750	1851	4239	99	474	12328	14233
51	Monroe	Alabama	2253	1372	75	20	335	114	291	7	39	737	854
52	Montgomery	Alabama	18847	12246	694	126	2721	868	1929	33	230	6045	8080
53	Morgan	Alabama	9920	6108	449	63	1496	463	1204	23	114	3326	3761
54	Perry	Alabama	1168	698	42	13	188	56	149	3	19	368	473
55	Pickens	Alabama	2184	1354	70	16	316	101	287	6	34	711	819
56	Pike	Alabama	2783	1757	97	19	409	121	342	6	32	912	1129
57	Randolph	Alabama	2366	1588	54	11	258	99	323	6	27	753	947
58	Russell	Alabama	4441	2717	126	26	638	209	653	12	60	1374	1661
59	St Clair	Alabama	4674	2675	211	27	716	239	715	17	74	1553	1595
60	Shelby	Alabama	7481	4514	348	40	1120	354	974	22	109	2548	2681
61	Sumter	Alabama	1262	748	47	10	225	61	146	3	22	402	525
62	Talladega	Alabama	8447	4892	273	51	1096	343	1587	28	177	2508	3049
63	Tallapoosa	Alabama	4831	3329	125	17	561	160	582	9	48	1628	1992
64	Tuscaloosa	Alabama	13960	8443	523	134	1999	654	1970	27	210	4504	5229
65	Walker	Alabama	8333	4533	386	57	1405	315	1442	46	149	2630	2963
66	Washington	Alabama	1578	867	71	20	254	98	239	5	24	516	525
68	Wilcox	Alabama	1339	728	56	17	216	99	194	3	26	432	467
