id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	787409	424372	51614	10133	114296	42794	100631	6115	37454	201657	317984
2	Autauga	Alabama	6012	3180	375	60	905	345	765	55	325	1505	2285
3	Baldwin	Alabama	24437	15180	1845	245	2905	970	2315	160	820	7535	9890
4	Barbour	Alabama	5108	2640	265	65	725	270	795	50	300	1240	2015
5	Bibb	Alabama	3559	1605	205	50	575	240	600	45	235	840	1245
6	Blount	Alabama	7792	4110	640	70	1220	320	1045	75	310	2090	3090
7	Bullock	Alabama	2570	1225	125	40	405	225	360	15	175	595	970
8	Butler	Alabama	4780	2550	250	60	700	295	595	55	275	1160	1920
9	Calhoun	Alabama	23047	12525	1455	225	3230	1070	3260	170	1110	5655	9355
10	Ch ambers	Alabama	8094	5170	275	60	855	355	990	45	345	2160	3515
11	Cherokee	Alabama	4620	2555	300	30	650	195	660	35	195	1270	1760
12	Chilton	Alabama	6761	3345	500	70	1090	390	950	75	340	1705	2550
13	Choctaw	Alabama	3453	1615	220	50	590	220	510	55	195	840	1255
14	Clarke	Alabama	5710	2765	360	110	915	450	715	70	325	1380	2130
15	Clay	Alabama	3166	1765	180	25	395	150	435	40	175	830	1265
16	Cleburne	Alabama	2773	1475	170	35	345	130	450	30	140	690	1025
17	Coffee	Alabama	7775	4520	565	105	1065	350	830	55	285	2105	3270
18	Colbert	Alabama	11707	5940	990	130	1850	525	1630	120	525	3030	4660
19	Conecuh	Alabama	3372	1700	190	65	475	205	485	50	200	855	1270
20	Coosa	Alabama	2694	1355	150	35	345	145	475	20	170	665	935
21	Covington	Alabama	9016	5485	440	90	1080	405	1120	55	340	2395	3825
22	Crenshaw	Alabama	3208	1760	185	40	495	165	395	25	145	845	1320
23	Cullman	Alabama	14486	8065	1215	140	2180	650	1595	110	530	4055	6050
24	Dale	Alabama	7991	4275	535	105	1105	440	1025	85	425	2080	3045
25	Dallas	Alabama	10011	5045	465	165	1445	705	1410	95	680	2230	3905
26	De Kalb	Alabama	11582	6180	805	105	1790	570	1550	85	500	3025	4705
27	EImore	Alabama	9723	5375	555	150	1260	690	1105	70	515	2510	3680
28	Escambia	Alabama	7478	3970	470	105	1120	405	935	80	395	1840	3005
29	Etowah	Alabama	23112	11890	1830	315	3785	995	3025	190	1080	5950	9670
30	Fayette	Alabama	4055	2255	255	45	575	170	540	30	185	1070	1715
31	Franklin	Alabama	6942	3510	535	60	1075	285	1075	65	340	1760	2695
32	Geneva	Alabama	5695	3315	350	70	810	245	670	40	195	1575	2400
33	Greene	Alabama	2130	980	120	65	355	170	280	15	145	510	785
34	Hale	Alabama	3345	1620	185	65	535	215	450	30	245	810	1250
35	Henry	Alabama	3515	1940	210	30	565	180	405	30	155	925	1510
36	Houston	Alabama	15645	8900	945	170	2140	800	1925	100	665	4090	6440
37	Jackson	Alabama	9900	5230	690	105	1475	495	1425	85	395	2595	3785
38	Jefferson	Alabama	127757	68215	8700	1975	20390	7100	14805	775	5800	32325	55005
39	Lamar	Alabama	3717	2200	170	30	445	180	505	35	150	975	1500
40	Lauderdale	Alabama	17373	9390	1520	130	2660	715	2160	135	665	4745	7255
41	Lawrence	Alabama	5453	2670	440	55	835	295	825	50	285	1410	2020
42	Lee	Alabama	12277	6985	545	95	1535	730	1685	70	635	3075	4845
43	Limestone	Alabama	9146	4895	710	85	1390	440	1210	55	360	2360	3665
44	Lowndes	Alabama	2459	1040	150	45	355	260	360	35	215	530	800
45	Macon	Alabama	4018	2160	185	60	575	320	515	20	185	975	1660
46	Madison	Alabama	34566	20470	2560	330	4645	1710	3625	145	1080	9430	14415
47	Marengo	Alabama	4522	2325	255	70	680	295	560	35	300	1110	1770
48	Marion	Alabama	6363	3515	375	60	870	260	955	50	280	1630	2590
49	Marshall	Alabama	16323	8890	1245	130	2420	680	2160	115	685	4345	6535
50	Mobile	Alabama	67408	35275	4545	1205	9755	4570	8175	615	3265	16900	26785
51	Monroe	Alabama	4701	2490	245	95	655	295	585	45	290	1155	1810
52	Montgomery	Alabama	35534	19815	1965	510	4750	2250	4165	220	1860	8675	14825
53	Morgan	Alabama	18786	10485	1365	225	2740	1025	2185	95	670	5000	7770
54	Perry	Alabama	2746	1350	160	90	395	170	370	30	185	655	1035
55	Pickens	Alabama	4530	2470	220	70	630	265	590	30	255	1190	1760
56	Pike	Alabama	5659	3110	310	50	795	330	715	50	300	1425	2340
57	Randolph	Alabama	4630	2895	185	45	485	235	590	35	160	1255	1915
58	Russell	Alabama	9301	5090	435	95	1370	555	1255	70	430	2295	3650
59	St Clair	Alabama	9372	4715	695	130	1400	495	1355	100	480	2365	3430
60	Shelby	Alabama	14530	7885	1090	135	2040	815	1815	100	650	3895	5710
61	Sumter	Alabama	2856	1400	190	45	495	170	355	20	180	705	1170
62	Talladega	Alabama	16348	8075	815	180	2100	805	3030	170	1175	3110	5860
63	Tallapoosa	Alabama	8727	5285	370	70	980	370	1200	50	400	2245	3645
64	Tuscaloosa	Alabama	25559	13540	1445	360	3475	1550	3690	150	1350	6330	9990
65	Walker	Alabama	16045	7470	1135	220	2610	735	2680	230	965	3775	6010
66	Washington	Alabama	3463	1530	230	80	560	230	530	50	250	820	1150
68	Wilcox	Alabama	3074	1255	190	70	495	275	450	35	300	690	1015
69	Winston	Alabama	4876	2435	335	40	720	220	760	80	285	1245	1840
70	Unknown	Alabama	26	10	    	5	    	5	5	    	    	5	10
72	"Alaska, total"	Alaska	45865	25463	2551	844	4405	4405	5622	298	2277	12980	14627
73	Aleutian Islands	Alaska	214	125	10	5	35	25	10	    	5	75	65
74	Anchorage	Alaska	17628	9930	895	240	1545	1470	2525	95	930	4720	5880
75	Angoon	Alaska	99	45	    	5	10	20	10	    	10	25	25
76	BarrowNorth Slope	Alaska	428	145	25	25	45	110	50	5	20	85	90
77	Bethel	Alaska	1047	370	105	45	180	215	85	10	40	290	245
78	Bristol Bay Borough	Alaska	95	55	5	    	15	5	10	    	5	40	25
79	Bristol Bay	Alaska	457	210	35	15	60	75	35	    	25	140	125
80	CordovaMcCarthy	Alaska	207	130	20	    	20	15	15	    	5	75	75
81	Fairbanks North Star	Alaska	5391	3080	255	75	500	505	690	30	255	1585	1695
82	Haines	Alaska	325	215	25	5	30	20	20	    	10	120	115
83	Juneau	Alaska	2389	1430	95	30	210	250	250	5	115	670	870
84	KenaiCook Inlet	Alaska	4212	2425	265	50	390	320	505	40	220	1260	1300
85	Ketchikan Gateway	Alaska	1515	950	85	15	145	95	155	10	60	495	555
86	Kobuk	Alaska	566	160	45	65	60	145	45	10	35	105	105
87	Kodiak Island	Alaska	780	465	35	15	70	90	75	5	25	260	235
88	Kuskokwim	Alaska	24	10	    	    	5	5	5	    	    	5	10
89	MatanuskaSusitna	Alaska	4526	2500	275	60	400	350	585	55	300	1285	1350
90	Nome	Alaska	781	320	65	45	120	145	50	5	30	210	210
91	Outer Ketchikan	Alaska	145	80	10	    	20	5	20	    	10	40	55
92	Prince Of Wales	Alaska	237	120	15	10	15	15	45	    	15	75	60
93	Seward	Alaska	504	315	20	10	50	30	55	    	20	165	170
