id	county	state	total	retire_workers	retire_wives_husbands	retire_children	survivor_widows	survivor_children	disability_workers	disability_wives_husbands	disability_children	men65plus	women65plus
1	"Alabama, total"	Alabama	520081	320296	18691	3410	71470	20492	77355	911	7457	169282	197940
2	Autauga	Alabama	4059	2459	137	24	578	184	601	9	67	1306	1462
3	Baldwin	Alabama	18115	12569	729	96	2055	510	1950	27	178	7015	6506
4	Barbour	Alabama	3050	1821	80	22	402	118	545	7	51	932	1137
5	Bibb	Alabama	2218	1194	74	17	322	106	449	8	46	661	738
6	Blount	Alabama	5258	3123	229	19	767	178	855	10	77	1793	1858
7	Bullock	Alabama	1300	746	29	8	178	83	231	1	24	380	478
8	Butler	Alabama	2823	1736	75	21	364	133	440	7	46	878	1081
9	Calhoun	Alabama	14536	8838	476	72	1928	518	2458	28	218	4393	5589
10	Chambers	Alabama	5279	3684	89	22	476	152	778	5	71	1665	2227
11	Cherokee	Alabama	3073	1934	98	12	351	95	538	4	42	1044	1029
12	Chilton	Alabama	4334	2473	162	28	685	172	735	12	68	1368	1557
13	Choctaw	Alabama	2084	1108	68	16	293	100	439	10	50	620	663
14	Clarke	Alabama	3571	2059	134	29	528	219	530	7	63	1135	1247
15	Clay	Alabama	1908	1205	58	6	206	56	345	3	31	628	715
16	Cleburne	Alabama	1689	988	47	10	186	67	355	4	30	510	556
17	Coffee	Alabama	5025	3267	206	33	640	177	637	7	59	1740	1901
18	Colbert	Alabama	8280	4937	394	50	1260	271	1251	18	103	2844	3007
19	Conecuh	Alabama	1939	1121	56	16	248	81	370	6	40	603	680
20	Coosa	Alabama	1626	959	41	10	192	60	332	1	29	523	551
21	Covington	Alabama	5553	3726	144	35	623	180	774	9	62	1813	2226
22	Crenshaw	Alabama	1768	1097	50	11	243	72	266	3	26	564	685
23	Cullman	Alabama	9282	5838	407	54	1319	298	1247	17	104	3253	3502
24	Dale	Alabama	4773	2903	187	26	602	196	767	12	80	1598	1658
25	Dallas	Alabama	5709	3347	152	49	762	316	963	12	108	1605	2202
26	DeKalb	Alabama	7903	4736	273	48	1097	286	1332	14	116	2538	2871
27	Elmore	Alabama	6412	4044	198	48	779	339	893	10	102	2083	2278
28	Escambia	Alabama	4807	2886	166	25	659	203	777	15	78	1516	1768
29	Etowah	Alabama	15484	9074	676	111	2529	503	2356	32	205	4996	6101
30	Fayette	Alabama	2612	1646	81	8	337	93	401	5	38	804	1053
31	Franklin	Alabama	4218	2468	182	21	609	123	743	11	59	1345	1522
32	Geneva	Alabama	3475	2227	106	20	439	111	517	6	47	1134	1337
33	Greene	Alabama	1142	625	30	14	159	69	219	2	27	334	382
34	Hale	Alabama	1743	989	47	14	260	92	306	3	34	521	634
35	Henry	Alabama	2132	1341	65	12	300	82	301	3	29	677	863
36	Houston	Alabama	10250	6637	323	61	1303	351	1431	16	127	3444	3954
37	Jackson	Alabama	6331	3793	225	31	858	230	1103	12	78	2062	2185
38	Jefferson	Alabama	88547	54475	3436	701	13880	3531	11205	115	1202	29031	36816
39	Lamar	Alabama	2247	1477	54	10	223	75	377	5	29	708	828
40	Lauderdale	Alabama	12291	7661	587	51	1820	365	1660	21	125	4287	4710
41	Lawrence	Alabama	3584	2032	154	21	501	140	674	8	52	1154	1219
42	Lee	Alabama	8707	5608	218	35	959	356	1369	12	148	2799	3218
43	Limestone	Alabama	6149	3692	249	31	874	243	962	12	85	1939	2196
44	Lowndes	Alabama	1262	651	38	11	172	91	261	4	34	340	413
45	Macon	Alabama	2207	1344	52	15	280	124	359	4	31	628	892
46	Madison	Alabama	23261	15464	911	111	2967	865	2694	21	227	8037	9040
47	Marengo	Alabama	2770	1675	91	21	363	113	450	6	52	888	1024
48	Marion	Alabama	4005	2450	111	21	491	127	738	8	58	1240	1441
49	Marshall	Alabama	9537	5875	370	42	1334	312	1473	15	116	3130	3574
50	Mobile	Alabama	45378	27305	1791	418	6556	2126	6417	101	663	14754	17187
51	Monroe	Alabama	2908	1784	82	30	360	124	464	6	58	922	1073
52	Montgomery	Alabama	23197	15013	749	148	2974	988	2974	26	327	7370	9592
53	Morgan	Alabama	12843	8069	500	77	1826	494	1726	16	136	4276	4888
54	Perry	Alabama	1414	815	41	19	192	68	251	2	26	426	518
55	Pickens	Alabama	2668	1649	70	22	316	129	437	5	40	833	983
56	Pike	Alabama	3201	2012	82	18	421	140	478	5	46	996	1261
57	Randolph	Alabama	2903	1943	54	15	258	105	480	4	43	918	1109
58	Russell	Alabama	5813	3591	146	35	754	263	937	10	76	1792	2175
59	St Clair	Alabama	6562	3835	256	39	932	269	1103	15	111	2160	2254
